M,N,K,Time
128,2048,4096,66454
320,3072,4096,100576
1632,36548,1024,880058
2048,4096,32,4213
1024,16,500000,1012524
35,8457,2560,169308
31999,1024,84,38454
84,1024,4096,33376
2048,1,128,470
256,256,2048,5014
