Matrix,A,B,Z,Multiplies,Adds,Swaps,Intersects,Minimum Traffic,Time
wiki-Vote,1293480,711096,22006532,4542805,2711693,6496280,103689,24012396,203008.75
p2p-Gnutella31,2039688,1822872,6701556,538318,717,574972,147892,10719876,76864.06025
ca-CondMat,2383608,2383608,28357776,4127524,1772087,4643180,186936,33029308,241016.0378
poisson3Da,4326648,4326648,35544416,11768678,8811148,13705600,352762,44118820,428300
email-Enron,4652072,5899656,366052616,51501448,21009294,64796174,367662,375170048,2740157.244
